Filename,speaker,gender,passage,trial,word,frequency,phoneme,duration,f0_midpoint,F1_midpoint,F2_midpoint,,,,health,high
STE-366_2_2,3,F,2,2,neighborhood,high,eI,0.136875044,248.7183477,744.886587,2376.399929,,,,,
STE-366_2_2,3,F,2,2,rattling,low,{,0.102460747,259.5394764,845.3079683,1768.105308,,,,,
STE-366_2_2,3,F,2,2,several,high,E,0.107153606,229.6813702,695.4626513,1837.347007,,,,,
STE-366_2_2,3,F,2,2,lasses,low,{,0.161828076,201.8349332,733.0916397,1957.340935,,,,,
STE-366_2_2,3,F,2,2,prefab,low,{,0.12675204,111.2196195,802.7835966,1740.821987,,,,,
STE-366_2_2,3,F,2,2,stategy,high,{,0.139506962,267.1945614,779.7451356,1759.597554,,,,,
STE-366_2_2,3,F,2,2,chamfer,low,{,0.098850647,258.8321697,811.1121548,1788.56702,,,,,
STE-366_2_2,3,F,2,2,enmeshing,low,E,0.129143588,205.3764078,625.6087968,2003.34165,,,,,
STE-366_2_2,3,F,2,2,after,high,{,0.075690942,290.288358,857.8058081,1972.290475,,,,,
STE-366_2_2,3,F,2,2,checked,high,E,0.166603507,227.474266,761.0647947,1721.231697,,,,,
STE-366_2_2,3,F,2,2,somitazation,low,eI,0.161284731,232.1697011,544.6880849,2225.287084,,,,,
STE-366_2_2,3,F,2,2,natural,high,{,0.121417048,227.21836,796.1563944,1700.008179,,,,,
STE-366_2_2,3,F,2,2,antedating,low,eI,0.128894468,230.0470418,641.5877099,2273.940009,,,,,
STE-366_2_2,3,F,2,2,prevented,high,E,0.138046738,243.917874,828.0622243,2009.732064,,,,,
STE-366_2_2,3,F,2,2,scathingly,low,eI,0.137284049,101.856394,490.8723097,2428.544018,,,,,
STE-366_2_2,3,F,2,2,traipsed,low,eI,0.108301861,225.7024707,547.8200194,2119.139257,,,,,
STE-367_1_1,4,F,1,1,health,high,E,0.115811621,254.632668,988.818478,1628.466279,,,,,
STE-367_1_1,4,F,1,1,peppy,low,E,0.096306506,277.7371277,906.2301777,1962.378067,,,,,
STE-367_1_1,4,F,1,1,sectary,low,E,0.069486973,293.8088856,905.8503871,1982.964729,,,,,
STE-367_1_1,4,F,1,1,cases,high,eI,0.104839994,196.0376587,419.2681706,2322.354301,,,,,
STE-367_1_1,4,F,1,1,demarcations,low,eI,0.107278133,214.5041172,427.7125786,1873.388971,,,,,
STE-367_1_1,4,F,1,1,unless,high,E,0.092649297,264.5643727,816.0740449,1955.265712,,,,,
STE-367_1_1,4,F,1,1,collimated,low,eI,0.146288363,181.4063621,541.5063452,3006.502017,,,,,
STE-367_1_1,4,F,1,1,relegated,low,E,0.066967745,204.3459796,418.2218215,1599.140876,,,,,
STE-367_1_1,4,F,1,1,interface,high,eI,0.148285721,200.2168368,487.1386621,2090.977311,,,,,
STE-367_1_1,4,F,1,1,claimed,high,eI,0.13074655,235.0400505,932.3200116,2022.12111,,,,,
STE-367_1_1,4,F,1,1,terracottas,low,E,0.073345626,202.6198767,748.0928575,1805.000651,,,,,
STE-367_1_1,4,F,1,1,traded,high,eI,0.148285721,210.5788186,546.8950427,1902.845458,,,,,
STE-367_1_1,4,F,1,1,alginate,low,{,0.038267283,113.7038185,719.1421972,1863.206094,,,,,
STE-367_1_1,4,F,1,1,crackpot,low,{,0.119585259,206.0225385,1016.508145,1640.253019,,,,,
STE-367_1_1,4,F,1,1,as,high,{,0.071751155,201.4724311,935.1344016,1964.094389,,,,,
